,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
0,1,1,1,2,8,1984,26,5,5,5,2,2,1,3,11,-1,-1,-1,0,1,4,4,4,4,4
1,1,1,4,2,3,1989,21,4,3,3,1,2,1,3,12,1,4,1,0,3,4,3,3,2,5
2,1,1,4,2,2,1989,21,1,2,1,2,4,4,3,12,0,0,0,0,1,2,2,2,2,3
3,1,1,1,2,8,1991,19,6,6,5,1,2,4,3,7,1,3,0,0,1,2,3,3,3,4
4,1,1,1,1,5,1981,29,5,4,5,1,2,1,7,9,0,2,0,0,1,2,2,2,2,2
5,1,1,-1,2,8,1983,27,5,5,5,1,4,3,6,3,-1,2,-1,-1,2,-1,-1,-1,-1,3
6,1,1,4,1,1,1974,36,5,5,5,2,2,1,7,2,0,2,0,0,1,4,2,2,2,2
7,1,0,4,2,5,1987,23,4,4,3,2,2,1,6,1,0,3,-1,0,1,3,4,2,3,3
8,0,0,1,2,5,1978,32,3,4,3,1,2,1,5,3,0,1,-1,0,1,2,2,2,2,3
9,0,0,-1,2,2,1988,22,1,4,1,1,2,4,4,-1,0,6,-1,0,1,4,4,4,4,4
10,-1,1,1,2,5,1981,29,3,2,-1,1,4,4,7,5,-1,2,-1,-1,1,3,3,4,4,2
11,1,1,1,1,1,1972,38,5,4,5,1,2,1,4,10,1,-1,-1,0,2,4,4,4,4,3
12,1,1,1,1,1,1974,36,5,5,5,2,2,1,3,8,1,1,0,0,3,4,4,4,3,4
13,1,1,1,1,1,1954,56,5,4,4,-1,2,3,2,10,1,2,0,0,3,2,4,4,4,4
14,1,1,1,2,2,1980,30,1,2,1,1,4,1,7,11,1,1,0,0,1,3,3,3,4,4
15,1,1,1,2,2,1989,21,1,1,1,1,2,1,3,1,0,4,3,0,1,3,3,3,4,4
16,1,1,4,1,12,1966,44,5,4,5,3,2,1,4,12,1,5,-1,0,1,3,2,2,3,4
17,0,0,4,2,5,1987,23,6,6,2,1,3,3,5,12,0,2,0,0,1,1,1,1,1,3
18,0,1,1,1,1,1990,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,1,1,1,1,1,1987,23,5,5,5,1,2,1,5,9,1,2,0,0,3,4,3,4,4,4
20,1,0,4,1,1,1985,25,5,5,5,1,4,5,5,2,0,0,0,0,1,3,2,2,3,4
21,1,1,3,2,5,1956,54,1,3,1,1,4,4,7,11,1,0,0,0,1,3,3,3,3,-1
22,1,1,1,2,8,1979,31,5,5,5,2,2,1,5,12,1,0,0,0,1,3,3,3,3,3
23,1,0,4,2,5,1981,29,5,5,5,1,2,3,7,1,0,-1,-1,0,2,2,2,2,2,4
24,1,1,1,1,5,1983,27,4,4,3,1,4,3,7,10,1,2,-1,0,1,4,4,4,4,4
25,1,1,3,2,8,1988,22,5,5,5,1,2,1,5,1,0,3,-1,0,1,2,4,3,3,5
26,1,1,4,1,1,1980,30,5,5,5,2,4,3,5,10,0,-1,-1,0,1,2,2,2,2,3
27,1,1,1,2,8,1990,20,6,6,5,1,4,1,4,11,0,2,-1,0,1,4,4,4,4,4
28,1,1,1,2,6,1978,32,4,5,5,5,4,4,6,5,1,1,2,0,1,-1,-1,-1,-1,4
